"","workerid","assignmentid","bonus"
"1","A10MSB9X1UFLJ5","37ZHEEHM6WNHVE4J9KVGTCU3TGR730",1
"2","A12NO2MNOIREXA","3W8CV64QJ20035ZB32I2B2MJ7BMH9I",1
"3","A173A97OFDAX9F","38SKSKU7R1YV02B4YH3DGNET7IWLIQ",1
"4","A17ITPS92UMJRJ","3RU7GD8VPOUAL1TYVLQY16T0LQ0SPO",1
"5","A18T7E73TNGOKP","3FTF2T8WLRJI0VU0Y142C5W6MZ6W94",1
"6","A1B9H14AV44C0G","3NC5L260MONJWWCBA1DK575VMWMOFY",1
"7","A1JOJM9JG53H9R","3634BBTX0OV90A18C60FLA99AM3IFB",1
"8","A1K9ZOE126MC50","3N2BF7Y2VQVFAPI5SBM7GOS37BAHM0",1
"9","A1NF1XZTCVRG1V","3XM0HYN6NK09BIOGUQ6TCPPLKZKPED",1
"10","A1UBV2NP7OVDVV","3180JW2OT4DDTOSPOC86BZXWY7M5JZ",1
"11","A1VKGII4PKKS3T","3M0NZ3JDP1Z3T3XT6YBSZTLMH5S5ZD",1
"12","A1XWBSRUGGNEA2","3RJSC4XJ10V6RIR324Y0TUI0ZZV509",1
"13","A26FC0H9JNICC7","3ZSY5X72NXCGZMHK1WDEMWJEPJHROE",1
"14","A2BZY06YRWGEDL","3DHE4R9OCWCB3PJ1YNL5GF24M572GK",1
"15","A2CHDWKAYZ3P3E","34V1S5K3GS2K6GFU7JRYEBXTYX0690",1
"16","A2F5QCUTZU7KF7","3PWWM24LHSZWAADJFP9HO2L6YMX287",1
"17","A2H8HVANGF4A58","3U84XHCDICELXKTTSTSIU1F8HA5Z4C",1
"18","A2NCEEXO8IJN0","340UGXU9DY235YIY62UXMZ06SCNVUV",1
"19","A2V4DP31BEVABF","3RANCT1ZVFIOWKKS1L3XLN6ZPJMUB1",1
"20","A35ROC8J91VOW0","35H6S234SA115TDI4TEH2VSRC1V56M",1
"21","A37EV8RZ82WT8E","3R9WASFE2ZHVV0QICAO1L5CZ6Z6FZ6",1
"22","A38DHLB88V8DL8","3WRFBPLXRAP6YZW6PRC5P9GTTVZN3U",1
"23","A3APKUC67F9IMW","3WLEIWSYHOIP3LECIT3N1FE515K2HJ",1
"24","A3B2E83YBR3L6E","3PM8NZGV8YH3HUGCP8BA0J0251GQXD",1
"25","A3GEHH49HNJM57","3PWWM24LHSZWAADJFP9HO2L6YMW82C",1
"26","A3JAM040VWXHDO","3MH9DQ757WDKN1S3H7VBMYXW5WRUGV",1
"27","A3N40Z29QX64UJ","3F6HPJW4JD170B91DSPN2IOSGTNW23",1
"28","A3P35II1RN3FYV","31N2WW6R9RRUA7JPR3TSH47KR49F3B",1
"29","A4J4GGMKJ68L0","3IAEQB9FMELU3L7HAH94Y1FWDKLWDL",1
"30","A7T06JMP6BTDS","3IKZ72A5B4H1EBCZ9MD7QI5QWLLFNC",1
"31","ACBK30I7R42NI","3PPTZCWALQLSMPGRQQZVX4GDD2RZQY",1
"32","AL36KBFL3ORCD","3F6HPJW4JD170B91DSPN2IOSGT12WN",1
"33","AM4PAC2YQPREB","3NKQQ8O39Y6HBHICFHU3GDUZS4DDU6",1
"34","AM4RUMMB8CE8L","3WR9XG3T63C2DANN9Y0Z3HM97GM74K",1
"35","ANBWJZYU2A68T","35GMH2SV3EIRQICFFQTENPKVAUUEOR",1
"36","ANR0LIX0VLUYJ","39N5ACM9HEOSGMXZMFQ7KBOAT25P94",1
"37","AR4XFM7G1W0VQ","3YMTUJH0DSHPB8KUM1308DERWD04TG",1
"38","AT20PW4G38BMM","3PPTZCWALQLSMPGRQQZVX4GDD1EZQJ",1
"39","AT6LDQNLKTUSE","3BC8WZX3V3XJWZ90TOUIGROJ06YRRK",1
"40","AUU3FYNZXKENO","3JWH6J9I9SEB1U0J4KRB7SE5HNCNBL",1
"41","AZCGF2D7QIO10","354P56DE9K4LFVPYZZWH1K2FLX07S4",1
